CID	ACT_AN
11972	Active
29307	Active
80777	Active
32872	Active
8532	Active
62421	Active
40813	Active
13671	Active
91677	Active
91590	Active
9462	Active
8594	Active
5281607	Active
5284349	Active
18771	Active
3465817	Active
39040	Active
41632	Active
3444	Active
9351	Active
66678	Active
121639	Active
23666110	Active
62217	Active
75547	Active
23675339	Active
38854	Active
61945	Active
3078952	Active
79242	Active
446155	Active
5111791	Active
4114	Active
11769	Active
6529	Active
135465076	Active
8805	Active
2723789	Active
24842	Active
24633	Active
7732	Active
11317	Active
5281875	Active
70400	Active
707035	Active
7050	Active
10068207	Active
10345790	Active
38360	Active
60196440	Active
173058	Active
86287525	Active
7076	Active
83656	Active
2723885	Active
8571	Active
23668198	Active
8765	Active
7243	Active
6051	Active
10693	Active
69779	Active
4338370	Active
17818	Active
4984721	Active
16720	Active
171660	Active
22704	Active
86233	Active
3712	Active
11818	Active
3117	Active
41368	Active
31070	Active
47898	Active
12850184	Inactive
89753	Inactive
9403	Inactive
13218779	Inactive
142766	Inactive
637566	Inactive
994	Inactive
4766	Inactive
3080	Inactive
197883	Inactive
51	Inactive
66064	Inactive
66435	Inactive
10664	Inactive
8739	Inactive
65463	Inactive
65708	Inactive
60196259	Inactive
5338	Inactive
3246155	Inactive
54724367	Inactive
667466	Inactive
6419941	Inactive
6603108	Inactive
5459110	Inactive
656597	Inactive
3000668	Inactive
22576	Inactive
2333	Inactive
614	Inactive
94280	Inactive
23664709	Inactive
546	Inactive
16678045	Inactive
14676	Inactive
441358	Inactive
71822	Inactive
443939	Inactive
4078	Inactive
2348	Inactive
23667629	Inactive
3151	Inactive
5694	Inactive
4614	Inactive
71203	Inactive
3061720	Inactive
35370	Inactive
2266	Inactive
1727	Inactive
2081	Inactive
1989	Inactive
2130	Inactive
169371	Inactive
5283389	Inactive
119	Inactive
135398513	Inactive
2244	Inactive
2141	Inactive
1986	Inactive
2230	Inactive
564	Inactive
135401907	Inactive
2157	Inactive
2119	Inactive
2123	Inactive
2196	Inactive
4768	Inactive
2471	Inactive
2351	Inactive
2284	Inactive
2369	Inactive
2717	Inactive
2765	Inactive
2578	Inactive
2754	Inactive
6241	Inactive
22420	Inactive
72276	Inactive
2727	Inactive
4211	Inactive
2554	Inactive
2733	Inactive
2756	Inactive
2720	Inactive
5309446	Inactive
1547484	Inactive
1355	Inactive
2913	Inactive
135398737	Inactive
4652	Inactive
64927	Inactive
2796	Inactive
2801	Inactive
2803	Inactive
2753	Inactive
2726	Inactive
2762	Inactive
2576	Inactive
19379	Inactive
2910	Inactive
104920	Inactive
3100	Inactive
10649	Inactive
65327	Inactive
6419921	Inactive
3053	Inactive
3019	Inactive
3108	Inactive
4943	Inactive
9363	Inactive
53708	Inactive
8307	Inactive
72016	Inactive
6207	Inactive
3396	Inactive
3386	Inactive
3331	Inactive
3339	Inactive
3373	Inactive
3442	Inactive
3385	Inactive
3356	Inactive
3341	Inactive
3325	Inactive
3397	Inactive
3478	Inactive
3446	Inactive
3488	Inactive
71401	Inactive
135398740	Inactive
3559	Inactive
5702293	Inactive
3639	Inactive
774	Inactive
681	Inactive
3672	Inactive
3779	Inactive
54459	Inactive
3696	Inactive
133621	Inactive
3827	Inactive
3932	Inactive
3965	Inactive
3955	Inactive
39562	Inactive
3676	Inactive
3957	Inactive
4170	Inactive
65710	Inactive
4168	Inactive
4184	Inactive
5353788	Inactive
4201	Inactive
6420039	Inactive
119442	Inactive
4032	Inactive
4054	Inactive
4011	Inactive
4500	Inactive
4567	Inactive
4488	Inactive
4495	Inactive
71398	Inactive
4493	Inactive
39214	Inactive
4581	Inactive
4628	Inactive
4636	Inactive
4847	Inactive
4671	Inactive
4740	Inactive
16362	Inactive
40632	Inactive
4927	Inactive
4932	Inactive
4843	Inactive
4992	Inactive
1676	Inactive
5917	Inactive
5887	Inactive
1046	Inactive
4909	Inactive
4848	Inactive
24351	Inactive
9373	Inactive
4781	Inactive
6603149	Inactive
4850	Inactive
4913	Inactive
5795	Inactive
5702242	Inactive
3001055	Inactive
5074	Inactive
5073	Inactive
68712	Inactive
54900	Inactive
5095	Inactive
56959	Inactive
37542	Inactive
5268	Inactive
5253	Inactive
5335	Inactive
131746	Inactive
72124	Inactive
5233	Inactive
2083	Inactive
5265	Inactive
3448	Inactive
656665	Inactive
5426	Inactive
5702214	Inactive
5454	Inactive
5505	Inactive
5503	Inactive
5610	Inactive
5429	Inactive
864	Inactive
62935	Inactive
2052	Inactive
2061	Inactive
1359	Inactive
5578	Inactive
54840	Inactive
671690	Inactive
5452	Inactive
5405	Inactive
5593	Inactive
5639	Inactive
2435	Inactive
2520	Inactive
5665	Inactive
2998	Inactive
5707	Inactive
155774	Inactive
5282386	Inactive
135399235	Inactive
6100	Inactive
31195	Inactive
71399	Inactive
23681233	Inactive
60196260	Inactive
11953895	Inactive
54670067	Inactive
135445761	Inactive
5284486	Inactive
5883	Inactive
5892	Inactive
3440	Inactive
4174	Inactive
9552079	Inactive
45105092	Inactive
4911	Inactive
5324	Inactive
5995	Inactive
5342	Inactive
4993	Inactive
6009	Inactive
3278	Inactive
938	Inactive
6047	Inactive
6048	Inactive
60196261	Inactive
1349907	Inactive
2206	Inactive
6093	Inactive
4044	Inactive
2148	Inactive
4754	Inactive
6114	Inactive
6126	Inactive
5333	Inactive
2310	Inactive
54682468	Inactive
54686764	Inactive
54704426	Inactive
6166	Inactive
5311498	Inactive
6231	Inactive
5215	Inactive
6234	Inactive
3775	Inactive
5340	Inactive
5775	Inactive
2315	Inactive
6307	Inactive
6461	Inactive
4994	Inactive
2732	Inactive
3291	Inactive
2955	Inactive
6634	Inactive
5330	Inactive
192197	Inactive
667476	Inactive
4806	Inactive
3025	Inactive
6839	Inactive
3292	Inactive
4075	Inactive
5280567	Inactive
644020	Inactive
2343	Inactive
3516	Inactive
7172	Inactive
3735	Inactive
204	Inactive
1983	Inactive
7699	Inactive
15723	Inactive
5315	Inactive
3038	Inactive
5104	Inactive
8478	Inactive
8480	Inactive
5323	Inactive
2145	Inactive
4621	Inactive
5576	Inactive
5319	Inactive
5325	Inactive
10133	Inactive
275196	Inactive
4641	Inactive
8520	Inactive
66063	Inactive
65464	Inactive
5560	Inactive
3647	Inactive
67313	Inactive
3607	Inactive
5328	Inactive
5336	Inactive
2480	Inactive
9051	Inactive
54676537	Inactive
6433169	Inactive
67533	Inactive
3503	Inactive
9458	Inactive
9878	Inactive
4173	Inactive
5284613	Inactive
91453	Inactive
3182	Inactive
221071	Inactive
2883	Inactive
1892	Inactive
10621	Inactive
5282318	Inactive
3371	Inactive
5281417	Inactive
4107	Inactive
10766	Inactive
102426	Inactive
164652	Inactive
2761171	Inactive
68304	Inactive
10830	Inactive
3168	Inactive
11102	Inactive
4100	Inactive
68385	Inactive
11289	Inactive
11368	Inactive
11391	Inactive
11683	Inactive
9915886	Inactive
4977	Inactive
2391	Inactive
6433208	Inactive
2804	Inactive
9570076	Inactive
5326	Inactive
3081	Inactive
5329	Inactive
2904	Inactive
5280723	Inactive
54680694	Inactive
2797	Inactive
6420022	Inactive
101925	Inactive
441328	Inactive
54688689	Inactive
14051	Inactive
4165	Inactive
122824	Inactive
64713	Inactive
14219	Inactive
5526	Inactive
71611	Inactive
5332	Inactive
60196262	Inactive
16129666	Inactive
16051954	Inactive
60196264	Inactive
91505	Inactive
207841	Inactive
64722	Inactive
62413	Inactive
15443	Inactive
92163	Inactive
2723716	Inactive
3366	Inactive
2794	Inactive
16490	Inactive
4487	Inactive
443935	Inactive
2466	Inactive
17134	Inactive
17275	Inactive
17276	Inactive
17683	Inactive
9883104	Inactive
18340	Inactive
76621	Inactive
3926	Inactive
19003	Inactive
19004	Inactive
6420038	Inactive
441345	Inactive
92968	Inactive
3690	Inactive
19675	Inactive
54685047	Inactive
6419888	Inactive
210320	Inactive
6420071	Inactive
3394	Inactive
21743	Inactive
3332	Inactive
22162	Inactive
441333	Inactive
6419942	Inactive
3418	Inactive
6419978	Inactive
71172	Inactive
4922	Inactive
20056627	Inactive
5282484	Inactive
5094	Inactive
5284447	Inactive
5284619	Inactive
14985	Inactive
5284629	Inactive
2448	Inactive
54685920	Inactive
83201	Inactive
26098	Inactive
610479	Inactive
5281069	Inactive
161104	Inactive
21158559	Inactive
27200	Inactive
5531	Inactive
27648	Inactive
5702161	Inactive
28061	Inactive
5284579	Inactive
29327	Inactive
5479	Inactive
4855	Inactive
3074	Inactive
16051951	Inactive
64740	Inactive
4612	Inactive
3825	Inactive
68552	Inactive
31072	Inactive
2320	Inactive
3059	Inactive
3276	Inactive
3326	Inactive
441334	Inactive
31728	Inactive
31772	Inactive
4912	Inactive
155290	Inactive
32169	Inactive
441374	Inactive
3463	Inactive
33624	Inactive
5362	Inactive
5284409	Inactive
35375	Inactive
443944	Inactive
62884	Inactive
