CID	ACT_AN
7551	Active
5281162	Active
7626	Active
66461	Active
8433	Active
34469	Active
182951	Active
26955	Active
91753	Active
91768	Active
107720	Active
17533	Active
12932	Active
25152	Active
7555	Active
14994	Active
4477	Active
38779	Active
6327657	Active
91766	Active
11402127	Active
61719	Active
13940	Active
10342051	Active
8227	Active
9862076	Active
25912	Active
25146	Active
86138	Active
5383	Active
15766	Active
443048	Active
91776	Active
11048796	Active
3032581	Active
39223	Active
1787910	Active
7430	Active
3391107	Active
5372405	Active
91699	Active
176879	Active
39385	Active
6436605	Active
2912	Active
54745	Active
9576412	Active
86298	Active
25127	Active
61008	Active
31677	Active
122087	Active
86367	Active
9959038	Active
3317081	Active
62210	Active
54778	Active
93516	Active
29216	Active
2724159	Active
5284341	Active
2723622	Active
8268	Active
7693	Active
80277	Active
3032472	Active
83975	Active
3883	Active
153974	Active
86354	Active
213031	Active
62829	Active
213016	Active
86398	Active
13218777	Active
135503327	Active
92425	Active
21804	Active
90462	Active
30692	Active
86429	Active
11097730	Active
41381	Active
50367	Active
10403199	Active
93379	Active
20965	Active
28999	Active
86173	Active
33360	Active
22833489	Active
3352	Active
36565	Active
6422843	Active
22833506	Active
213032	Active
11826859	Active
91757	Active
47938	Active
19587	Active
91731	Active
86132	Active
100524	Active
51605	Active
61594	Active
86013	Active
12942137	Active
64865	Active
62379	Active
87323	Active
18193	Active
119193	Active
117640	Active
91683	Active
53672	Active
91692	Active
89440	Active
28768	Active
74266	Active
66573	Active
2723715	Active
6872	Active
91693	Active
6636	Active
11488	Active
36679	Active
15530	Active
34313	Active
36392	Active
15969	Active
10303	Active
118703	Active
7348	Active
27295	Active
28292	Active
37125	Active
26033	Active
5510	Active
803	Active
6515	Active
91593	Active
87391	Active
66609	Active
1711973	Active
93335	Active
189821	Active
8228	Active
33443	Active
17531	Active
16116	Active
13081	Active
38884	Active
1474	Active
31957	Active
6694	Active
66571	Active
9782	Active
192197	Active
18980	Active
6624	Active
15325	Active
67277	Active
93012	Active
23661981	Active
79688	Active
84733	Active
85821	Active
1549133	Active
81346	Active
352309	Active
80434	Active
3957	Active
6867	Active
75444	Active
79633	Active
16143	Active
10234	Active
51369	Active
4578030	Active
40520	Active
19402	Active
33500	Active
91673	Active
4767	Active
93365	Active
10107	Active
19756	Active
11140605	Active
32184	Active
91778	Active
9570290	Active
12309460	Active
76716	Active
66491	Active
4493	Active
181518	Active
75557	Active
16834	Active
39230	Active
6669	Active
10568	Active
87019	Active
14869	Active
118379	Active
94544	Active
4320947	Active
671	Active
92387	Active
6621	Active
78435	Active
108381	Active
243274	Active
15284	Active
62556	Active
6772	Active
116814	Active
93162	Active
93312	Active
86171	Active
604152	Active
74937	Active
108956	Active
170286	Active
20113	Active
18198	Active
3005572	Active
69765	Active
5284462	Active
22628	Active
27211	Active
42981	Active
23690437	Active
6610	Active
60196421	Active
459494	Active
16683072	Active
9403	Active
68539	Active
6428555	Active
3334	Active
41114	Active
6291	Active
55245	Active
5280378	Active
5284373	Active
24743	Active
8292	Active
1730	Active
23678979	Active
3899	Active
60974	Active
97354	Active
5360487	Active
23665583	Active
9690	Active
19113	Active
114644	Active
20848	Active
16115	Active
30709	Active
36274	Active
3032792	Active
91742	Active
38283	Active
117746	Active
28417	Active
170530	Active
3034351	Active
18290	Active
15376	Active
5284486	Active
2097895	Active
31208	Active
67274	Active
644213	Active
15337	Active
17434	Active
3086172	Active
5365642	Active
36382	Active
2361	Active
445070	Active
6773	Active
13097	Active
83648	Active
14385	Active
14249	Active
67215	Active
24773	Active
96359	Active
90571	Active
9948	Active
7071	Active
4534	Active
442021	Active
16684434	Active
13254	Active
23540	Active
449171	Active
77328	Active
5284558	Active
2540	Active
29307	Active
53249535	Active
32872	Active
34468	Active
16722125	Active
31573	Active
13783	Active
83322	Active
441371	Active
6857648	Active
67005	Active
11774	Active
9786	Active
62329	Active
6112114	Active
11127402	Active
12797557	Active
116529	Active
3482402	Active
91677	Active
9300	Active
91590	Active
33565	Active
5995	Active
60196428	Active
86210	Active
9462	Active
8594	Active
61124	Active
16533	Active
61953	Active
2082	Active
442482	Active
5371002	Active
14720269	Active
299728	Active
85979	Active
7170	Active
169870	Active
5281607	Active
15008962	Active
6215	Active
4499	Active
5281025	Active
5281055	Active
54900	Active
60822	Active
35969	Active
40854	Active
1268142	Active
162381	Active
47936	Active
18771	Active
82146	Active
91688	Active
6917655	Active
9934458	Active
60823	Active
22522	Active
20906	Active
6025	Active
6230	Active
41632	Active
3444	Active
20641892	Active
5320128	Active
576026	Active
5362564	Active
5365976	Active
3571582	Active
161803	Active
86287524	Active
18783	Active
23347	Active
42504	Active
9351	Active
86211	Active
23666110	Active
9895	Active
5388510	Active
94398	Active
162268	Active
929262	Active
7460	Active
62217	Active
16678	Active
71612	Active
62539	Active
61982	Active
9878	Active
75547	Active
15209	Active
16821	Active
26049	Active
6533	Active
223368	Active
62558	Active
60196372	Active
62935	Active
3702	Active
164512	Active
657220	Active
163263	Active
57363	Active
446155	Active
12484	Active
9903	Active
107377	Active
4211	Active
11769	Active
15098	Active
5284421	Active
135465076	Active
8805	Active
2723789	Active
9444	Active
5280531	Active
9395	Active
6537494	Active
7648	Active
6777	Active
6796	Active
7573	Active
26041	Active
70400	Active
7078	Active
7969	Active
14716	Active
10068207	Active
59086459	Active
20352	Active
6928	Active
60196348	Active
3420996	Active
23692768	Active
16682834	Active
10345790	Active
10160166	Active
250948	Active
132932	Active
6440554	Active
11193251	Active
8816	Active
11982778	Active
29354	Active
10159191	Active
38360	Active
65552	Active
60196440	Active
180494	Active
16850	Active
173058	Active
86287525	Active
25015677	Active
15032	Active
517000	Active
23700188	Active
19602	Active
83656	Active
23668568	Active
9889168	Active
56069	Active
26295	Active
129491	Active
16036578	Active
31100	Active
75575	Active
60196441	Active
31492	Active
16051930	Active
5281516	Active
35785	Active
10958189	Active
63062	Active
135474890	Active
23668198	Active
8765	Active
6625	Active
7243	Active
15730	Active
6051	Active
69779	Active
11767	Active
969491	Active
16720	Active
7594	Active
171660	Active
213013	Active
86233	Active
3712	Active
11818	Active
43704	Active
4197	Active
11442	Active
4115	Active
41368	Active
29393	Active
5564	Active
31070	Active
47898	Active
5794	Active
3034285	Active
6279	Active
60198	Active
4170	Active
441336	Active
54746	Active
5381	Active
5717	Active
6018	Active
5342	Active
3108	Active
16051942	Active
5288783	Active
9642	Active
3168	Active
6540478	Active
23665410	Active
60871	Active
5281032	Active
6420040	Active
92727	Active
5282494	Active
68304	Active
3696	Active
60196364	Active
5324346	Active
64139	Active
66063	Active
74990	Active
5362376	Active
3025	Active
4748	Active
5281078	Active
65999	Active
392622	Active
3042	Active
47471	Active
2520	Active
2477	Active
4030	Active
2157	Active
5070	Active
9270	Active
55283	Active
2800	Active
147912	Active
3488	Active
4409	Active
54580	Active
5388983	Active
20469	Active
5362123	Active
73957	Active
10531	Active
150311	Active
43032	Active
3393	Active
71764	Active
9046	Active
208898	Active
4870	Active
3784	Active
44383	Active
62960	Active
54911	Active
5452	Active
3295	Active
2722	Active
73303	Active
387447	Active
2484	Active
71399	Active
72187522	Active
9051	Active
23663992	Active
36339	Active
60699	Active
37392	Active
34632	Active
119182	Active
119607	Active
54360	Active
4474	Active
1549008	Active
5311	Active
5978	Active
52195	Active
247839	Active
444025	Active
71360	Active
2769	Active
13765	Active
134018	Active
9556529	Active
115366	Active
2351	Active
5732	Active
104865	Active
25249	Active
9818306	Active
5282318	Active
8944	Active
4078	Active
135413523	Active
2444	Active
4641	Active
84088	Active
77993	Active
92151	Active
16051941	Active
82153	Active
6432394	Active
156418	Active
443879	Active
5585	Active
60854	Active
5482	Active
65495	Active
2754	Active
19675	Active
2161	Active
5282375	Active
32798	Active
6437380	Active
443943	Active
3062316	Active
60795	Active
123596	Active
62978	Active
93055	Active
176870	Active
16667700	Active
10158453	Active
11088	Active
16682935	Active
517304	Active
3036	Active
10830	Active
275196	Active
37907	Active
6436059	Active
61574	Active
2562	Active
71386	Active
5468	Active
5311217	Active
91610	Active
65057	Active
153997	Active
104850	Active
65906	Active
135749823	Active
60149	Active
312915	Active
20395	Active
160796	Active
10113978	Active
60196301	Active
4621	Active
10288	Active
4622	Active
2194	Active
10090	Active
3058754	Active
3360	Active
6084	Active
15443	Active
91670	Active
6708701	Active
10219	Active
656743	Active
7188	Active
216235	Active
221071	Active
3607	Active
5388977	Active
71777	Active
72026	Active
10126299	Active
16490	Active
135410	Active
13713368	Active
65948	Active
2793	Active
2816	Active
2333	Active
5702220	Active
2378	Active
3074	Active
2577	Active
4177	Active
3033988	Active
73356	Active
6237	Active
5265	Active
443955	Active
3515	Active
5506	Active
5282138	Active
2448	Active
5282209	Active
4006	Active
4963	Active
9927058	Active
2247	Active
91771	Active
4507	Active
676166	Active
3086676	Active
6607	Active
111318	Active
5309446	Active
33611	Active
636411	Active
2273	Active
16351	Active
71587	Active
3085326	Active
18377	Active
6321253	Active
11368	Active
35455	Active
2225	Active
3316	Active
119442	Active
10206	Active
3747	Active
5284629	Active
3275	Active
443945	Active
5282184	Active
119583	Active
122125	Active
3760	Active
5282183	Active
4514	Active
71622	Active
159271	Active
5282433	Active
441412	Active
16473	Active
5282229	Active
3671	Active
93858	Active
3936	Active
4615	Active
10631	Active
3326	Active
71128	Active
92806	Active
4122	Active
115367	Active
71267	Active
9578572	Active
60662	Active
24871267	Active
65758	Active
151194	Active
688145	Active
5311037	Active
56463	Active
3060974	Active
60785	Active
19910	Active
3033825	Active
3033968	Active
65341	Active
54685524	Active
2453	Active
6918543	Active
68848	Active
54339	Active
72106	Active
155794	Active
42725	Active
72098	Active
68943	Active
71203	Active
1549992	Active
71967	Active
2843496	Active
616236	Active
3033769	Active
2753	Active
20054964	Active
31635	Active
56649463	Active
21718	Active
54676478	Active
55652	Active
65399	Active
68909	Active
59757	Active
75194	Active
107641	Active
135659063	Active
30668	Active
30630	Active
108092	Active
83969	Active
28767	Active
70882	Active
119369	Active
80311	Active
27400	Active
219081	Active
71693	Active
71768	Active
9454	Active
56846451	Active
213037	Active
41574	Active
65768	Active
122077	Active
5702159	Active
39299	Active
6436135	Active
27812	Active
36663	Active
65909	Active
135430323	Active
60196362	Active
26596	Active
1684	Active
16363	Active
65770	Active
159977	Active
9910986	Active
21772	Active
71208	Active
10616	Active
37274	Active
71894	Active
26650	Active
33334	Active
68186	Active
24978536	Active
71750	Active
4488	Active
17036	Active
1967	Active
24405	Active
65620	Active
5475158	Active
51755	Active
35803	Active
71821	Active
16211385	Active
11061	Active
9849425	Active
73334	Active
14652	Active
36303	Active
7176	Active
2750	Active
71353	Active
4497	Active
107926	Active
28693	Active
60712	Active
2081	Active
133621	Active
6917728	Active
54459	Active
60196270	Active
31475	Active
14895	Active
6719	Active
9561033	Active
2799	Active
156422	Active
193949	Active
42574	Active
54897	Active
65776	Active
30530	Active
60196272	Active
5723	Active
6450551	Active
7088	Active
2734678	Active
69912	Active
2723694	Active
74106	Active
13118	Active
71346	Active
656641	Active
154256	Active
42586	Active
173636	Active
20055397	Active
3038522	Active
17693	Active
24351	Active
11219835	Active
11957725	Active
11556711	Active
123924	Active
11957707	Active
46861540	Active
24964624	Active
135565635	Active
12205	Active
17811	Active
7492	Active
67114	Active
11862	Active
87293	Active
246598	Active
11381	Active
22830	Active
28531	Active
11294	Active
11232	Active
22419268	Active
62738	Active
16248	Active
39800	Active
11159021	Active
6451142	Active
5879	Active
69925	Active
91656	Active
23663539	Active
11614934	Active
18386	Active
12540	Active
9936739	Active
183559	Active
5319706	Active
62357	Active
17204	Active
41718	Active
36584	Active
26975	Active
119361	Active
17161	Active
6766	Active
21943953	Active
623849	Active
83119	Active
9888276	Active
16033	Active
10254	Active
11777	Active
11983	Active
12561	Active
12855	Active
12870	Active
166480	Active
6456	Active
7113	Active
13059052	Active
14178379	Active
5432	Inactive
54158	Inactive
3045402	Inactive
11956149	Inactive
71580	Inactive
60196310	Inactive
60196312	Inactive
3030770	Inactive
60196319	Inactive
118031	Inactive
60196325	Inactive
62786	Inactive
60196328	Inactive
60196330	Inactive
6321225	Inactive
21124389	Inactive
16219349	Inactive
2164	Inactive
6442928	Inactive
5492898	Inactive
5359421	Inactive
3057998	Inactive
71285	Inactive
10257	Inactive
60196334	Inactive
60196335	Inactive
24721009	Inactive
4980	Inactive
102710	Inactive
10624	Inactive
24194381	Inactive
44072	Inactive
71992	Inactive
11243969	Inactive
54686904	Inactive
60196336	Inactive
6918222	Inactive
3395	Inactive
5282164	Inactive
636398	Inactive
47462	Inactive
80278	Inactive
45357485	Inactive
8293	Inactive
13755	Inactive
92094	Inactive
10251042	Inactive
4783	Inactive
210301	Inactive
3740	Inactive
6918126	Inactive
9811353	Inactive
185457	Inactive
1999	Inactive
125564	Inactive
151173	Inactive
10133071	Inactive
3035267	Inactive
26602	Inactive
71809	Inactive
72004	Inactive
5282450	Inactive
6918106	Inactive
127998	Inactive
23684123	Inactive
60196350	Inactive
3045414	Inactive
4726	Inactive
164486	Inactive
19596	Inactive
60751	Inactive
129991	Inactive
60196351	Inactive
5464257	Inactive
71793	Inactive
5311398	Inactive
60021	Inactive
71900	Inactive
33176	Inactive
65394	Inactive
34870	Inactive
4474062	Inactive
53359	Inactive
91273	Inactive
71467	Inactive
636399	Inactive
208925	Inactive
66067	Inactive
20056549	Inactive
44341259	Inactive
