CID	ACT_AN
34763	Inactive
11666	Inactive
7622	Inactive
6277	Inactive
6417	Inactive
6517	Inactive
6788	Inactive
6935	Inactive
7027	Inactive
64947	Inactive
7412	Inactive
7568	Inactive
7735	Inactive
7764	Inactive
7868	Inactive
7910	Inactive
8110	Inactive
8265	Inactive
8472	Inactive
31337	Inactive
31405	Inactive
8946	Inactive
5283387	Inactive
10401	Inactive
10724	Inactive
11040	Inactive
69027	Inactive
12053	Inactive
12374	Inactive
15122	Inactive
70324	Inactive
14456	Inactive
15290	Inactive
6327116	Inactive
17043	Inactive
17593	Inactive
62475	Inactive
78501	Inactive
22932	Inactive
23368	Inactive
159747	Inactive
9568808	Inactive
33263	Inactive
33934	Inactive
94483	Inactive
114129	Inactive
7112	Inactive
7892	Inactive
67151	Inactive
13602	Inactive
15348	Inactive
75498	Inactive
18062	Inactive
7198	Inactive
2723856	Inactive
117915	Inactive
516872	Inactive
77080	Inactive
1118	Inactive
24648	Inactive
22833454	Inactive
174174	Inactive
5284346	Inactive
146540	Inactive
7302	Inactive
6209	Inactive
14500	Inactive
38221	Inactive
6673	Inactive
3081	Inactive
522325	Inactive
14075	Inactive
77342	Inactive
90547	Inactive
5922	Inactive
7955	Inactive
13622	Inactive
7409	Inactive
6670	Inactive
11945	Inactive
4594	Inactive
4763	Inactive
13297	Inactive
6956	Inactive
5284451	Inactive
656582	Inactive
54704426	Inactive
10891	Inactive
7247	Inactive
88898	Inactive
4343483	Inactive
12867	Inactive
13203	Inactive
67299	Inactive
11701	Inactive
12681	Inactive
12372	Inactive
7420	Inactive
12244	Inactive
12046	Inactive
11262	Inactive
10457	Inactive
74563	Inactive
999	Inactive
867	Inactive
61144	Inactive
8186	Inactive
25015	Inactive
14138	Inactive
8348	Inactive
83050	Inactive
8570	Inactive
73851	Inactive
87250	Inactive
16211115	Inactive
56638112	Inactive
69150	Inactive
23019	Inactive
16211135	Inactive
53316406	Inactive
6620	Inactive
608116	Inactive
13065	Inactive
6619	Inactive
84677	Inactive
6799	Inactive
60196294	Inactive
2724552	Inactive
222285	Inactive
60196371	Inactive
6427	Inactive
17321	Inactive
20353	Inactive
212930	Inactive
23535	Inactive
60967	Inactive
7482	Inactive
18745	Inactive
151932	Inactive
16218739	Inactive
2734160	Inactive
193581	Inactive
171257	Inactive
13379149	Inactive
44630019	Inactive
2734167	Inactive
11243457	Inactive
11832800	Inactive
2734244	Inactive
11171745	Inactive
2734174	Inactive
11492381	Inactive
12040509	Inactive
11424151	Inactive
11461044	Inactive
22239085	Inactive
12991988	Inactive
2758873	Inactive
53260965	Inactive
159924	Inactive
2734237	Inactive
10197675	Inactive
11321106	Inactive
10560335	Inactive
11212667	Inactive
2734241	Inactive
2734176	Inactive
2734238	Inactive
2734177	Inactive
53316409	Inactive
11076461	Inactive
16213711	Inactive
7490	Inactive
8035	Inactive
7840	Inactive
9709	Inactive
2331	Inactive
12252	Inactive
2576	Inactive
13619	Inactive
53316417	Inactive
12059921	Inactive
6495	Inactive
31347	Inactive
76191	Inactive
25171607	Inactive
6929	Inactive
9958	Inactive
6554	Inactive
240	Inactive
8062	Inactive
15394	Inactive
9808	Inactive
6565	Inactive
7192	Inactive
28700	Inactive
31297	Inactive
6577	Inactive
8868	Inactive
62493	Inactive
61274	Inactive
11734	Inactive
7543	Inactive
8125	Inactive
28207	Inactive
5366546	Inactive
92629	Inactive
12375	Inactive
6227	Inactive
7237	Inactive
6379	Inactive
85689	Inactive
67349	Inactive
77929	Inactive
17234	Inactive
11112	Inactive
24233	Inactive
7586	Inactive
8197	Inactive
28697	Inactive
20250	Inactive
11328	Inactive
12468	Inactive
6589	Inactive
7258	Inactive
7288	Inactive
6936	Inactive
21210	Inactive
18196	Inactive
